Date,Open,High,Low,Close
05-Nov-2014,8351.25,8365.55,8323.5,8338.3
07-Nov-2014,8331.85,8360.35,8290.25,8337
10-Nov-2014,8337.8,8383.05,8304.45,8344.25
11-Nov-2014,8354.1,8378.7,8321.85,8362.65
12-Nov-2014,8378.9,8415.05,8370.5,8383.3
13-Nov-2014,8405.25,8408,8320.35,8357.85
14-Nov-2014,8360.7,8400.65,8346.8,8389.9
17-Nov-2014,8378.4,8438.1,8349.1,8430.75
18-Nov-2014,8441.25,8454.5,8407.25,8425.9
19-Nov-2014,8440.65,8455.65,8360.5,8382.3
20-Nov-2014,8406.5,8410.85,8353.15,8401.9
21-Nov-2014,8408.2,8489.8,8398.6,8477.35
24-Nov-2014,8490.95,8534.65,8490.8,8530.15
25-Nov-2014,8530.8,8535.35,8429.45,8463.1
26-Nov-2014,8450.3,8500.3,8438.65,8475.75
27-Nov-2014,8477.8,8506.75,8456.35,8494.2
28-Nov-2014,8516.8,8617,8516.25,8588.25
01-Dec-2014,8605.1,8623,8545.15,8555.9
02-Dec-2014,8535.45,8560.2,8504.65,8524.7
03-Dec-2014,8528.7,8546.95,8508.35,8537.65
04-Dec-2014,8582.4,8626.95,8526.4,8564.4
05-Dec-2014,8584.25,8588.35,8523.9,8538.3
08-Dec-2014,8538.65,8546.35,8432.25,8438.25
09-Dec-2014,8439.3,8444.5,8330.5,8340.7
10-Dec-2014,8318.05,8376.8,8317,8355.65
11-Dec-2014,8338.85,8348.3,8272.4,8292.9
12-Dec-2014,8302,8321.9,8216.3,8224.1
15-Dec-2014,8160.75,8242.4,8152.5,8219.6
16-Dec-2014,8172.6,8189.35,8052.6,8067.6
17-Dec-2014,8041.2,8082,7961.35,8029.8
18-Dec-2014,8138.9,8174.3,8084.9,8159.3
19-Dec-2014,8230.45,8263.45,8208.6,8225.2
22-Dec-2014,8255,8330.95,8228.2,8324
23-Dec-2014,8324.6,8364.75,8252.85,8267
24-Dec-2014,8272.05,8286.4,8155.25,8174.1
26-Dec-2014,8204.8,8234.55,8147.95,8200.7
29-Dec-2014,8214.7,8279.15,8214.7,8246.3
30-Dec-2014,8260.3,8268.25,8220.55,8248.25
31-Dec-2014,8243.9,8291,8243.75,8282.7
01-Jan-2015,8272.8,8294.7,8248.75,8284
02-Jan-2015,8288.7,8410.6,8288.7,8395.45
05-Jan-2015,8407.95,8445.6,8363.9,8378.4
06-Jan-2015,8325.3,8327.85,8111.35,8127.35
07-Jan-2015,8118.65,8151.2,8065.45,8102.1
08-Jan-2015,8191.4,8243.5,8167.3,8234.6
09-Jan-2015,8285.45,8303.3,8190.8,8284.5
12-Jan-2015,8291.35,8332.6,8245.6,8323
13-Jan-2015,8346.15,8356.65,8267.9,8299.4
14-Jan-2015,8307.25,8326.45,8236.65,8277.55
15-Jan-2015,8424.5,8527.1,8380.55,8494.15
16-Jan-2015,8504.05,8530.75,8452.25,8513.8
19-Jan-2015,8550.05,8570.95,8531.5,8550.7
20-Jan-2015,8575.1,8707.9,8574.5,8695.6
21-Jan-2015,8719.65,8741.85,8689.6,8729.5
22-Jan-2015,8745.85,8774.15,8727,8761.4
23-Jan-2015,8827.95,8866.4,8795.4,8835.6
27-Jan-2015,8871.35,8925.05,8825.45,8910.5
28-Jan-2015,8902.75,8985.05,8874.05,8914.3
29-Jan-2015,8901.5,8966.65,8861.25,8952.35
30-Jan-2015,8996.6,8996.6,8775.1,8808.9
02-Feb-2015,8802.5,8840.8,8751.1,8797.4
03-Feb-2015,8823.15,8837.3,8726.65,8756.55
04-Feb-2015,8789.15,8792.85,8704.4,8723.7
05-Feb-2015,8733.1,8838.45,8683.65,8711.7
06-Feb-2015,8696.85,8726.2,8645.55,8661.05
09-Feb-2015,8584.4,8605.55,8516.35,8526.35
10-Feb-2015,8478.1,8646.25,8470.5,8565.55
11-Feb-2015,8603.3,8651.95,8593.65,8627.4
12-Feb-2015,8676.95,8732.55,8599.25,8711.55
13-Feb-2015,8741.5,8822.1,8729.65,8805.5
16-Feb-2015,8831.4,8870.1,8793.4,8809.35
18-Feb-2015,8811.55,8894.3,8808.9,8869.1
19-Feb-2015,8883.05,8913.45,8794.45,8895.3
20-Feb-2015,8895.5,8899.95,8816.3,8833.6
23-Feb-2015,8856.85,8869,8736.1,8754.95
24-Feb-2015,8772.9,8800.5,8726.75,8762.1
25-Feb-2015,8801.9,8840.65,8751.4,8767.25
26-Feb-2015,8779,8786.05,8669.45,8683.85
27-Feb-2015,8729.5,8856.95,8717.45,8844.6
28-Feb-2015,8913.05,8941.1,8751.35,8901.85
02-Mar-2015,8953.85,8972.35,8885.45,8956.75
03-Mar-2015,8962.85,9008.4,8925.55,8996.25
04-Mar-2015,9109.15,9119.2,8893.95,8922.65
05-Mar-2015,8929.4,8957.55,8849.35,8937.75
09-Mar-2015,8891.15,8891.3,8740.45,8756.75
10-Mar-2015,8769.75,8778,8677.35,8712.05
11-Mar-2015,8728.75,8755.6,8682.35,8699.95
12-Mar-2015,8740.65,8787.2,8732.9,8776
13-Mar-2015,8844.05,8849.75,8631.75,8647.75
16-Mar-2015,8656.75,8663.55,8612,8633.15
17-Mar-2015,8689.1,8742.55,8630.8,8723.3
18-Mar-2015,8742.9,8747.25,8664,8685.9
19-Mar-2015,8749.45,8788.2,8614.65,8634.65
20-Mar-2015,8627.9,8627.9,8553,8570.9
23-Mar-2015,8591.55,8608.35,8540.55,8550.9
24-Mar-2015,8537.05,8627.75,8535.85,8542.95
25-Mar-2015,8568.9,8573.75,8516.55,8530.8
26-Mar-2015,8474.95,8499.45,8325.35,8342.15
27-Mar-2015,8396,8413.2,8269.15,8341.4
30-Mar-2015,8390.95,8504.55,8380.75,8492.3
31-Mar-2015,8527.6,8550.45,8454.15,8491
01-Apr-2015,8483.7,8603.4,8464.75,8586.25
06-Apr-2015,8615.8,8667.55,8573.75,8659.9
07-Apr-2015,8684.45,8693.6,8586.85,8660.3
08-Apr-2015,8698.95,8730.5,8679.8,8714.4
09-Apr-2015,8756.2,8785.5,8682.45,8778.3
10-Apr-2015,8774.35,8787.4,8733.6,8780.35
13-Apr-2015,8801.75,8841.65,8762.1,8834
15-Apr-2015,8844.75,8844.8,8722.4,8750.2
16-Apr-2015,8757.05,8760,8645.65,8706.7
17-Apr-2015,8698.05,8699.85,8596.7,8606
20-Apr-2015,8618.8,8619.95,8422.75,8448.1
21-Apr-2015,8416.1,8469.35,8352.7,8377.75
22-Apr-2015,8400.4,8449.95,8284.7,8429.7
23-Apr-2015,8478.2,8504.95,8361.85,8398.3
24-Apr-2015,8405.7,8413.3,8273.35,8305.25
27-Apr-2015,8330.55,8334.45,8202.35,8213.8
28-Apr-2015,8215.55,8308,8185.15,8285.6
29-Apr-2015,8274.8,8308.2,8219.2,8239.75
30-Apr-2015,8224.5,8229.4,8144.75,8181.5
04-May-2015,8230.05,8346,8220.45,8331.95
05-May-2015,8338.4,8355.65,8280.6,8324.8
06-May-2015,8316.6,8331.95,8083,8097
07-May-2015,8077,8122.6,7997.15,8057.3
08-May-2015,8131.5,8224.95,8123.45,8191.5
11-May-2015,8243.2,8332.75,8224.65,8325.25
12-May-2015,8326.15,8326.65,8115.3,8126.95
13-May-2015,8181.55,8254.95,8089.8,8235.45
14-May-2015,8232.45,8236.25,8137.3,8224.2
15-May-2015,8240.3,8279.2,8212.2,8262.35
18-May-2015,8284.95,8384.6,8271.95,8373.65
19-May-2015,8356.2,8427.8,8335,8365.65
20-May-2015,8392.65,8440.35,8391.45,8423.25
21-May-2015,8434.5,8446.35,8382.5,8421
22-May-2015,8432.5,8489.55,8420.6,8458.95
25-May-2015,8438.15,8441.95,8364.15,8370.25
26-May-2015,8377.1,8378.9,8320.05,8339.35
27-May-2015,8302.75,8342.85,8277.95,8334.6
28-May-2015,8345.7,8364.5,8270.15,8319
29-May-2015,8327.1,8443.9,8305.7,8433.65
01-Jun-2015,8417.25,8467.15,8405.4,8433.4
02-Jun-2015,8442.8,8445.35,8226.05,8236.45
03-Jun-2015,8232.45,8236.7,8094.15,8135.1
04-Jun-2015,8155.15,8160.05,8056.75,8130.65
05-Jun-2015,8119.15,8191,8100.15,8114.7
08-Jun-2015,8124.35,8131,8030.55,8044.15
09-Jun-2015,8026.5,8057.15,8005.15,8022.4
10-Jun-2015,8024.15,8152.25,8023.8,8124.45
11-Jun-2015,8157.3,8163.05,7958.25,7965.35
12-Jun-2015,7959.85,7995.6,7940.3,7982.9
15-Jun-2015,7986.6,8057.7,7944.85,8013.9
16-Jun-2015,8004.2,8061.85,7952.35,8047.3
17-Jun-2015,8084.2,8136.85,8048.95,8091.55
18-Jun-2015,8113.7,8186.9,8101.8,8174.6
19-Jun-2015,8201.15,8250.8,8195.65,8224.95
22-Jun-2015,8259.3,8369.45,8257.4,8353.1
23-Jun-2015,8377.45,8398.45,8334.95,8381.55
24-Jun-2015,8399.4,8421.35,8338.9,8360.85
